Datum,Kommentar,Rating
"02.09.2025 18:03","Ich habe auf Ihre Anfrage zu einem Schadenfall geantwortet.\nTelefonat zur Klärung war hilfreich.\nNachreichung von Unterlagen → schnelle Rückmeldung.",5
"02.09.2025 17:14","Ihr KI-Band funktionierte nicht gut.\nMusste 3× die 2 wählen, bevor es weiterging.\nDie echte Mitarbeiterin war super!",4
"02.09.2025 11:06","Es wäre super, wenn mehr Informationen über die Kunden eingesehen werden könnten.",3
"01.09.2025 17:11","Der Kundenservice der Allianz ist ausgezeichnet – schnell, professionell und stets höflich. Sehr zufrieden!",5
"01.09.2025 14:45","Keine weiteren Kommentare",5
"01.09.2025 11:39","Keine weiteren Kommentare",5
"01.09.2025 10:51","Keine weiteren Kommentare",5
"29.08.2025 16:07","Keine weiteren Kommentare",5
"29.08.2025 14:56","Der Kontakt zum Kundendienst verlief problemlos und die Antwort kam sehr schnell.\nAuch bei früheren Problemen wurde immer schnell geholfen.",5
"29.08.2025 10:11","Kontaktaufnahme erst nach 4 Wochen.\nFragen konnten nicht klar beantwortet werden.",2
"29.08.2025 10:08","Keine weiteren Kommentare",4
"28.08.2025 18:00","Lief Bombe, aber unverständlich, warum ich einen Beleg zur Schadensregulierung anfordern muss.\nDer sollte doch direkt im Portal stehen.",5
"28.08.2025 16:15","Wir sind begeistert von der schnellen und kompetenten Hilfe von ***.\nBesser geht es nicht!",5
"28.08.2025 15:41","maschinelle Annahme des Anrufs – danach Weiterleitung zu einem Mitarbeiter",5
"28.08.2025 15:17","Keine weiteren Kommentare",5
"28.08.2025 13:22","Telefonat war sehr gut.\nIch konnte mein Anliegen erklären.\nGelöst wurde es aber erst nach 2 Tagen.",3
"28.08.2025 10:08","Keine weiteren Kommentare",4
"27.08.2025 16:48","Toller Service",5
"27.08.2025 15:59","Keine weiteren Kommentare",5
"27.08.2025 14:11","Bearbeitung 28 Tage.\nInformationen bereitgestellt, aber nicht verarbeitet.\nVerzögerungstaktik.\nBeschwerde über Mitarbeiter.\nRechtsbeistand wird erwogen.",1
"27.08.2025 12:13","Keine weiteren Kommentare",5
"27.08.2025 09:43","Keine weiteren Kommentare",5
"27.08.2025 09:27","Keine weiteren Kommentare",5
"26.08.2025 18:37","Bin zufrieden",5
"26.08.2025 18:27","Durch die Telefonanlage dauert die Kontaktaufnahme zu lang.\nWarteschleife nervt.\nRückruflösung ok, aber man möchte Sache schnell erledigen.",4
"26.08.2025 18:17","Sehr höfliche und hilfsbereite Mitarbeiterin. Top.",5
"26.08.2025 17:11","Keine weiteren Kommentare",4
"26.08.2025 15:32","Keine weiteren Kommentare",5
"26.08.2025 13:09","toll, wie schnell man eine Auskunft erhält",5
"26.08.2025 12:54","Keine weiteren Kommentare",5
"26.08.2025 11:33","Keine weiteren Kommentare",5
"25.08.2025 17:24","Keine weiteren Kommentare",4
"25.08.2025 14:34","Keine weiteren Kommentare",5
"25.08.2025 12:02","Alles TOP!",5
"25.08.2025 11:14","Sehr freundliche Mitarbeiterin, die mir direkt weiterhelfen konnte und alle Fragen beantwortet hat.",5
"21.08.2025 16:13","Keine weiteren Kommentare",5
"21.08.2025 14:59","Alles bestens!",5
"21.08.2025 13:40","In Zeiten von KI ist mir ein menschlicher Ansprechpartner lieber.\nBitte behalten Sie das bei.",5
"21.08.2025 13:07","Keine weiteren Kommentare",5
"21.08.2025 10:20","Online-Anbindung eines Factoringkunden dauerte 2 Wochen.\nKein Ansprechpartner.\n*** reagierte nicht.\nAndere Fachabteilungen halfen dann.",1
"20.08.2025 18:20","Keine weiteren Kommentare",5
"20.08.2025 18:07","Alles bestens – Gespräch war informativ",5
"20.08.2025 16:37","Keine weiteren Kommentare",5
"20.08.2025 13:28","war super, ohne nervige Warteschleifen",5
"20.08.2025 13:07","Keine weiteren Kommentare",5
"20.08.2025 12:02","Keine weiteren Kommentare",5
"19.08.2025 17:28","Keine weiteren Kommentare",5
"19.08.2025 12:11","Herzlichen Dank + Grüße Silvia Wagner",5
"19.08.2025 10:56","Schnelle und kompetente telefonische Hilfe und einfache Handhabe der Plattform.",5
"18.08.2025 18:29","Keine weiteren Kommentare",5
"18.08.2025 12:25","Keine weiteren Kommentare",5
"15.08.2025 16:03","Keine weiteren Kommentare",4
"15.08.2025 14:21","Keine weiteren Kommentare",5
"15.08.2025 12:04","Ein sehr angenehmes Gespräch. Alle Fragen beantwortet.",5
"15.08.2025 12:04","Keine weiteren Kommentare",5
"14.08.2025 14:33","Keine weiteren Kommentare",4
"14.08.2025 13:14","Keine weiteren Kommentare",5
"14.08.2025 10:02","Keine weiteren Kommentare",5
"13.08.2025 17:41","Keine weiteren Kommentare",5
"13.08.2025 16:33","Keine weiteren Kommentare",5
"13.08.2025 16:32","Keine weiteren Kommentare",4
"12.08.2025 22:55","Keine weiteren Kommentare",5
"12.08.2025 20:58","Keine weiteren Kommentare",5
"12.08.2025 10:37","Sehr schnelle Rückmeldung/Erledigung. Vielen Dank",5
"11.08.2025 15:59","Alles bestens.",5
"11.08.2025 15:04","Der Kontakt war sehr angenehm und zuvorkommend!\nEs blieben keine der gestellten Fragen offen.",5
"11.08.2025 14:53","Keine weiteren Kommentare",5
"08.08.2025 10:23","Meine Unterlagen habe ich prompt erhalten",5
"08.08.2025 08:13","Keine weiteren Kommentare",5
"07.08.2025 17:25","Bearbeitung war schnell, aber nicht sachgerecht.",1
"07.08.2025 14:44","Keine weiteren Kommentare",5
